Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
01@01	32.25	2253	6443	2.54	2.06E+09	0.00205454	0.158	2.64E-02	48	-21	-12	0.00205706	25.86											
01@02	32.32	2218	6439	2.55	2.09E+09	0.00205519	0.180	2.66E-02	48	-21	-13	0.00205770	26.18											
01@03	32.38	2183	6435	2.54	2.09E+09	0.00205480	0.191	2.47E-02	48	-21	-12	0.00205732	25.99											
01@04	32.45	2149	6431	2.55	2.09E+09	0.00205337	0.161	2.37E-02	48	-21	-12	0.00205589	25.28											
01@05	32.52	2114	6428	2.54	2.08E+09	0.00205165	0.189	2.61E-02	48	-21	-12	0.00205416	24.42											
01@06	32.58	2080	6424	2.57	2.09E+09	0.00205123	0.190	2.50E-02	47	-20	-10	0.00205375	24.21											
01@07	32.65	2046	6421	2.54	2.08E+09	0.00205166	0.182	2.49E-02	47	-20	-11	0.00205417	24.42											
01@08	32.72	2011	6417	2.53	2.06E+09	0.00205085	0.181	2.53E-02	46	-20	-10	0.00205336	24.02											
01@09	32.78	1977	6414	2.52	2.04E+09	0.00205014	0.170	2.75E-02	46	-20	-8	0.00205265	23.66											
01@10	32.85	1943	6410	2.51	2.05E+09	0.00204786	0.155	2.77E-02	46	-19	-9	0.00205037	22.53											
01@11	33.07	1908	6407	2.51	2.04E+09	0.00204921	0.115	3.07E-02	45	-19	-8	0.00205172	23.20											
01@12	33.13	1874	6403	2.51	2.05E+09	0.00205187	0.153	2.79E-02	45	-19	-9	0.00205438	24.53											
01@13	33.20	1840	6399	2.51	2.05E+09	0.00205504	0.150	2.61E-02	44	-19	-6	0.00205756	26.11											
01@14	33.27	1805	6396	2.50	2.05E+09	0.00205548	0.161	2.64E-02	44	-19	-8	0.00205800	26.33											
01@15	33.33	1771	6392	2.50	2.05E+09	0.00205319	0.173	2.85E-02	44	-18	-8	0.00205570	25.19											
01@16	33.40	1737	6389	2.50	2.05E+09	0.00205316	0.137	2.78E-02	43	-18	-9	0.00205567	25.17											
01@17	33.47	1702	6385	2.50	2.05E+09	0.00205232	0.182	2.65E-02	43	-18	-8	0.00205483	24.75											
01@18	33.53	1668	6382	2.50	2.04E+09	0.00205173	0.166	2.71E-02	42	-18	-7	0.00205425	24.46											
01@19	33.60	1634	6378	2.50	2.04E+09	0.00205142	0.150	2.69E-02	42	-18	-8	0.00205393	24.30											
01@20	33.67	1599	6375	2.50	2.05E+09	0.00205101	0.183	2.74E-02	42	-17	-7	0.00205353	24.10											
01@21	33.73	1565	6371	2.50	2.03E+09	0.00205184	0.159	2.61E-02	42	-18	-7	0.00205435	24.51											
01@22	33.80	1531	6367	2.49	2.04E+09	0.00205137	0.167	2.70E-02	41	-17	-7	0.00205388	24.28											
01@23	33.87	1496	6364	2.49	2.05E+09	0.00204938	0.136	2.85E-02	41	-17	-7	0.00205189	23.29											
01@24	33.93	1462	6360	2.49	2.02E+09	0.00204815	0.171	3.50E-02	41	-16	-8	0.00205066	22.67											
01@25	34.00	1428	6357	2.49	2.05E+09	0.00205055	0.178	2.76E-02	41	-16	-7	0.00205306	23.87											
01@26	34.20	1393	6353	2.49	2.04E+09	0.00205085	0.163	2.71E-02	40	-17	-8	0.00205336	24.02											
01@27	34.27	1359	6350	2.49	2.04E+09	0.00205124	0.146	2.90E-02	40	-16	-6	0.00205376	24.22											
01@28	34.33	1325	6346	2.49	2.02E+09	0.00205157	0.178	2.72E-02	39	-16	-7	0.00205409	24.38											
01@29	34.40	1290	6343	2.49	2.07E+09	0.00205287	0.155	2.90E-02	39	-16	-7	0.00205539	25.03											
01@30	34.47	1256	6339	2.63	2.18E+09	0.00205233	0.131	2.86E-02	39	-15	-8	0.00205484	24.76											
01@31	34.55	1222	6335	2.69	2.17E+09	0.00205252	0.147	2.80E-02	39	-16	-8	0.00205504	24.85											
01@32	34.62	1187	6332	2.72	2.22E+09	0.00205091	0.157	2.76E-02	39	-16	-6	0.00205342	24.05											
01@33	34.68	1153	6328	2.74	2.19E+09	0.00205099	0.158	2.67E-02	38	-16	-7	0.00205350	24.09											
01@34	34.75	1118	6325	2.75	2.22E+09	0.00204975	0.174	2.92E-02	38	-16	-7	0.00205226	23.47											
01@35	34.82	1084	6321	2.75	2.19E+09	0.00204517	0.166	4.69E-02	38	-15	-6	0.00204767		crack										
01@36	34.88	1050	6318	2.75	2.22E+09	0.00205062	0.178	2.71E-02	37	-16	-6	0.00205313	23.91											
01@37	34.95	1015	6314	2.75	2.14E+09	0.00204999	0.196	3.02E-02	37	-15	-5	0.00205250	23.59											
01@38	35.02	981	6311	2.76	2.20E+09	0.00205054	0.151	3.00E-02	37	-15	-7	0.00205305	23.86											
01@39	35.08	947	6307	2.75	2.24E+09	0.00204992	0.148	2.99E-02	36	-15	-5	0.00205243	23.55											
01@40	35.15	912	6303	2.75	2.24E+09	0.00205049	0.169	2.84E-02	36	-15	-6	0.00205301	23.84											
01@41	35.35	878	6300	2.74	2.15E+09	0.00205006	0.166	2.90E-02	36	-14	-6	0.00205258	23.63											
01@42	35.42	844	6296	2.74	2.25E+09	0.00205111	0.134	2.83E-02	35	-14	-5	0.00205363	24.15											
01@43	35.48	809	6293	2.74	2.23E+09	0.00205152	0.194	2.88E-02	35	-15	-7	0.00205403	24.35											
